pair_name,family_slug,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,true_winner_left,observed_winner_left,inversion_event
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,10,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,10,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,11,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,11,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,11,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,12,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,12,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,12,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,13,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,13,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,13,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,14,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,14,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,14,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,15,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,15,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,15,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,16,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,16,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,16,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,17,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,17,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,17,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,18,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,18,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,18,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,19,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,19,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,19,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,20,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,20,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,20,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,21,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,21,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,21,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,22,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,22,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,22,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
