pair_name,family_slug,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,true_winner_left,observed_winner_left,inversion_event
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,4,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,5,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,5,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,5,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,6,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,6,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,6,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,7,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,7,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,7,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,8,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,8,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,8,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,9,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,9,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,9,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,10,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,10,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,10,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,11,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,11,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,11,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.0,0.0,12,4.838970008435965,0.18978512183501556,4.838970008435965,4.838970008435965,0.18978512183501556,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.0,0.0,12,4.428840851187814,0.18644033118928185,4.428840851187814,4.428840851187814,0.18644033118928185,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.0,0.0,12,3.826228841547988,0.1769948507873902,3.826228841547988,3.826228841547988,0.1769948507873902,0.0,0.0,0.0,0.0,1,1,0
